selection_rank	run_accession	study_accession	sample_accession	scientific_name	strain_guess	data_tier	library_strategy	library_source	omics_type	omics_confidence	needs_manual_review	fastq_bytes	read_count	base_count	selection_reason	license_status	redistribution_status	download_status
1	ERR16065916	PRJEB106113	SAMEA120865863	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ATAC-seq	GENOMIC	chromatin_accessibility	0.820	0	239623315	8525658	316042572	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
2	ERR16065914	PRJEB106113	SAMEA120865863	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ATAC-seq	GENOMIC	chromatin_accessibility	0.820	0	246181335	8747856	324282786	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
3	ERR10451692	PRJEB57220	SAMEA111539340	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	28499321	1050353	78354413	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
4	SRR32574243	PRJNA1231458	SAMN47223694	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	30217947	868331	59914839	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
5	ERR10451693	PRJEB57220	SAMEA111539341	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	35381760	1381947	103078520	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
6	SRR32574242	PRJNA1231458	SAMN47223695	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	35764396	1014278	69985182	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
7	ERR4318899	PRJEB39237	SAMEA7039602	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	39112607	1334993	74095092	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
8	SRR10484471	PRJNA590248	SAMN13322866	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	41816013	2708184	44820157	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
9	ERR4318907	PRJEB39237	SAMEA7039610	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	45080171	1876642	99646089	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
10	SRR922404	PRJNA209527	SAMN02213681	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	WGA	GENOMIC	genomics	0.820	0	147833221	2019892	200293293	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
