run_accession	study_accession	strain_guess	data_tier	omics_type	url	md5	bytes	local_relative_path	license_status	redistribution_status	download_status
ERR16065915	PRJEB106113	MG1655	L1_core_candidate	chromatin_accessibility	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/015/ERR16065915/ERR16065915_1.fastq.gz	fd21d36c3f389a177c02acc4124e781d	120046067	raw/sequencing/MG1655/ERR16065915/ERR16065915_1.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR16065915	PRJEB106113	MG1655	L1_core_candidate	chromatin_accessibility	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/015/ERR16065915/ERR16065915_2.fastq.gz	5b71f887ee39b1891dcf016f947407ae	128196250	raw/sequencing/MG1655/ERR16065915/ERR16065915_2.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR16065900	PRJEB106113	MG1655	L1_core_candidate	chromatin_accessibility	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/000/ERR16065900/ERR16065900_1.fastq.gz	cabbbd7ec47ce8d4a5ddab6d99dcafd3	116672823	raw/sequencing/MG1655/ERR16065900/ERR16065900_1.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR16065900	PRJEB106113	MG1655	L1_core_candidate	chromatin_accessibility	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/000/ERR16065900/ERR16065900_2.fastq.gz	204e747872df3d4d2668921f45ea59c4	138825931	raw/sequencing/MG1655/ERR16065900/ERR16065900_2.fastq.gz	license_unverified	blocked_until_reviewed	pending
SRR32574241	PRJNA1231458	MG1655	L1_core_candidate	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/041/SRR32574241/SRR32574241.fastq.gz	9bb86986aaa1391da96db5e3b71488aa	36033137	raw/sequencing/MG1655/SRR32574241/SRR32574241.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR10451679	PRJEB57220	MG1655	L1_core_candidate	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/079/ERR10451679/ERR10451679.fastq.gz	8bb6a32646c0845aa8714c4a55b00b03	36399081	raw/sequencing/MG1655/ERR10451679/ERR10451679.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR10451700	PRJEB57220	MG1655	L1_core_candidate	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR10451700/ERR10451700.fastq.gz	0d0102ed30ba5ad6abff4708f46fd57c	36998572	raw/sequencing/MG1655/ERR10451700/ERR10451700.fastq.gz	license_unverified	blocked_until_reviewed	pending
SRR32574240	PRJNA1231458	MG1655	L1_core_candidate	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/040/SRR32574240/SRR32574240.fastq.gz	3c847ecbde3520e4abfe0b921aabf03d	41868560	raw/sequencing/MG1655/SRR32574240/SRR32574240.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR4318946	PRJEB39237	MG1655	L1_core_candidate	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4318946/ERR4318946.fastq.gz	f169f2da49a06d2ae2dd096053ea5296	47196640	raw/sequencing/MG1655/ERR4318946/ERR4318946.fastq.gz	license_unverified	blocked_until_reviewed	pending
SRR15699959	PRJNA759279	MG1655	L1_core_candidate	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/059/SRR15699959/SRR15699959.fastq.gz	ae2c8cb79778211275193618517f348a	48185045	raw/sequencing/MG1655/SRR15699959/SRR15699959.fastq.gz	license_unverified	blocked_until_reviewed	pending
