study_id	study_title	species	analysis_type	number_of_samples	release_date	license	license_url	study_url	license_status	redistribution_status
ST001244	Uropathogenic versus Urocolonizing Escherichia coli	Escherichia coli	LC-MS	23	2020-03-03	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ESCHERICHIA COLI	open_attribution_cc_by_4_0	allowed_with_attribution
ST001321	Metabolomics in Escherichia coli mutant strains	Escherichia coli	LC-MS	80	2020-03-02	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ESCHERICHIA COLI	open_attribution_cc_by_4_0	allowed_with_attribution
ST001394	Metabolomic study of Escherichia coli K-12 MG1655 and mutants	Escherichia coli	LC-MS	42	2021-03-01	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ESCHERICHIA COLI	open_attribution_cc_by_4_0	allowed_with_attribution
ST001421	Metabolomic study of Escherichia coli K-12 MG1655 WT and its transcriptional regulator mutants under anaerobic fermentation conditions	Escherichia coli	LC-MS	24	2021-03-01	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ESCHERICHIA COLI	open_attribution_cc_by_4_0	allowed_with_attribution
ST001938	Metabolomics characterized concentration-dependent metabolic influence of magnesium on biofilm formation in Escherichia coli (Part1)	Escherichia coli	LC-MS	28	2021-11-04	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ESCHERICHIA COLI	open_attribution_cc_by_4_0	allowed_with_attribution
ST001939	Metabolomics characterized concentration-dependent metabolic influence of magnesium on biofilm formation in Escherichia coli (Part 2)	Escherichia coli	LC-MS	30	2021-11-04	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ESCHERICHIA COLI	open_attribution_cc_by_4_0	allowed_with_attribution
ST002076	Metabolomic study of Escherichia coli K-12 MG1655 WT and its transcriptional regulator double mutants under anaerobic fermentation conditions	Escherichia coli	LC-MS	24	2022-06-30	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ESCHERICHIA COLI	open_attribution_cc_by_4_0	allowed_with_attribution
ST002128	Discovery and characterization of virulence associated functional metabolites in Escherichia coli based on functional metabolomics strategy(siderophores metabolomics-1)	Escherichia coli	LC-MS	24	2022-04-27	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ESCHERICHIA COLI	open_attribution_cc_by_4_0	allowed_with_attribution
ST002129	Discovery and characterization of virulence associated functional metabolites in Escherichia coli based on functional metabolomics strategy(siderophores metabolomics-2)	Escherichia coli	LC-MS	24	2022-04-20	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ESCHERICHIA COLI	open_attribution_cc_by_4_0	allowed_with_attribution
ST002130	Discovery and characterization of virulence associated functional metabolites in Escherichia coli based on functional metabolomics strategy（pellets metabolomics-1）	Escherichia coli	LC-MS	48	2022-04-20	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ESCHERICHIA COLI	open_attribution_cc_by_4_0	allowed_with_attribution
