run_accession	study_accession	omics_type	url	md5	bytes	local_relative_path	license_tag	download_status
ERR10451692	PRJEB57220	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/092/ERR10451692/ERR10451692.fastq.gz	b728610823d97d507ad9bb4d1f4027a5	28499321	raw/sequencing/MG1655/ERR10451692/ERR10451692.fastq.gz	download_only	pending
SRR32574243	PRJNA1231458	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/043/SRR32574243/SRR32574243.fastq.gz	21d37f751524bbdfca4cbd6619cc906d	30217947	raw/sequencing/MG1655/SRR32574243/SRR32574243.fastq.gz	download_only	pending
ERR10451693	PRJEB57220	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/093/ERR10451693/ERR10451693.fastq.gz	0e822015df92c5137a3e5b126acb1ef2	35381760	raw/sequencing/MG1655/ERR10451693/ERR10451693.fastq.gz	download_only	pending
SRR32574242	PRJNA1231458	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/042/SRR32574242/SRR32574242.fastq.gz	97d8733a6e038a5b56b71a677e5b2e35	35764396	raw/sequencing/MG1655/SRR32574242/SRR32574242.fastq.gz	download_only	pending
SRR13921543	PRJNA706563	methylomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/043/SRR13921543/SRR13921543_1.fastq.gz	ff46e145e52db0801aa1fcaadcf4c5e2	172303988	raw/sequencing/MG1655/SRR13921543/SRR13921543_1.fastq.gz	download_only	pending
SRR13921543	PRJNA706563	methylomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/043/SRR13921543/SRR13921543_2.fastq.gz	8cb9b8595b47e77c3ba29b33ea19afa4	195489086	raw/sequencing/MG1655/SRR13921543/SRR13921543_2.fastq.gz	download_only	pending
SRR16264717	PRJNA769733	methylomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/017/SRR16264717/SRR16264717_1.fastq.gz	2a9be3e9dee681dc1248c1b2c60b7e78	201672546	raw/sequencing/MG1655/SRR16264717/SRR16264717_1.fastq.gz	download_only	pending
SRR16264717	PRJNA769733	methylomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/017/SRR16264717/SRR16264717_2.fastq.gz	da43d2104e1af4cb68329983829b1b15	217708440	raw/sequencing/MG1655/SRR16264717/SRR16264717_2.fastq.gz	download_only	pending
SRR16264720	PRJNA769733	methylomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/020/SRR16264720/SRR16264720_1.fastq.gz	8642c0a9276996a6ee18d9bfcae7e96e	212613738	raw/sequencing/MG1655/SRR16264720/SRR16264720_1.fastq.gz	download_only	pending
SRR16264720	PRJNA769733	methylomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/020/SRR16264720/SRR16264720_2.fastq.gz	0b4b5b095945ff3fb31143c68b88f63a	230566565	raw/sequencing/MG1655/SRR16264720/SRR16264720_2.fastq.gz	download_only	pending
SRR12301664	PRJNA648047	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/064/SRR12301664/SRR12301664.fastq.gz	0cd94ff10bd7e2e563c55b90817dbe80	22450650	raw/sequencing/MG1655/SRR12301664/SRR12301664.fastq.gz	download_only	pending
SRR12301632	PRJNA648047	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/032/SRR12301632/SRR12301632.fastq.gz	18b46b902f4700f47c32e62a8d915f02	23541243	raw/sequencing/MG1655/SRR12301632/SRR12301632.fastq.gz	download_only	pending
SRR30919199	PRJNA951054	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/099/SRR30919199/SRR30919199.fastq.gz	9683506946991a4c9d0153fb68f503ed	26216948	raw/sequencing/MG1655/SRR30919199/SRR30919199.fastq.gz	download_only	pending
SRR1168159	PRJNA238007	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/009/SRR1168159/SRR1168159.fastq.gz	b4b32b867c520594ba3d6ad6121b8e60	28298011	raw/sequencing/MG1655/SRR1168159/SRR1168159.fastq.gz	download_only	pending
ERR16027350	PRJEB105423	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/050/ERR16027350/ERR16027350.fastq.gz	08aed2a1b18e3c09b0e1b7581ee67eef	29058787	raw/sequencing/MG1655/ERR16027350/ERR16027350.fastq.gz	download_only	pending
SRR3086961	PRJNA258521	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/001/SRR3086961/SRR3086961.fastq.gz	7deaaef6f5d9f47dd20e79218e54dc50	29320402	raw/sequencing/MG1655/SRR3086961/SRR3086961.fastq.gz	download_only	pending
SRR1168161	PRJNA238007	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/001/SRR1168161/SRR1168161.fastq.gz	a3fc31828f918db6470b556a385afe77	30137304	raw/sequencing/MG1655/SRR1168161/SRR1168161.fastq.gz	download_only	pending
ERR4314149	PRJEB39185	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4314149/ERR4314149.fastq.gz	6f3b5a32f84e3280ff6d9f1fe40b24bd	31905678	raw/sequencing/MG1655/ERR4314149/ERR4314149.fastq.gz	download_only	pending
SRR30780364	PRJNA949415	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/064/SRR30780364/SRR30780364.fastq.gz	b34c35a84985614834f2b8c2334751da	21760001	raw/sequencing/MG1655/SRR30780364/SRR30780364.fastq.gz	download_only	pending
SRR30780364	PRJNA949415	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/064/SRR30780364/SRR30780364_1.fastq.gz	21acde05c864ca36b79e2214329cd210	3720839	raw/sequencing/MG1655/SRR30780364/SRR30780364_1.fastq.gz	download_only	pending
SRR30780364	PRJNA949415	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/064/SRR30780364/SRR30780364_2.fastq.gz	b1671189e4c9629ba31b25fae78263b5	6992201	raw/sequencing/MG1655/SRR30780364/SRR30780364_2.fastq.gz	download_only	pending
SRR1145019	PRJNA236560	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/009/SRR1145019/SRR1145019.fastq.gz	3842268970d27e8a19d643535d3d1cef	32759736	raw/sequencing/MG1655/SRR1145019/SRR1145019.fastq.gz	download_only	pending
ERR4314150	PRJEB39185	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4314150/ERR4314150.fastq.gz	edd3b279ec167a73cc7f4fbab27169ae	33075807	raw/sequencing/MG1655/ERR4314150/ERR4314150.fastq.gz	download_only	pending
SRR30780351	PRJNA949415	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/051/SRR30780351/SRR30780351.fastq.gz	e5a0e72abfccb37a8b1a353899edd548	5727849	raw/sequencing/MG1655/SRR30780351/SRR30780351.fastq.gz	download_only	pending
SRR30780351	PRJNA949415	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/051/SRR30780351/SRR30780351_1.fastq.gz	9185eff7322b493a53b7ce14bb9506a7	12397572	raw/sequencing/MG1655/SRR30780351/SRR30780351_1.fastq.gz	download_only	pending
SRR30780351	PRJNA949415	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/051/SRR30780351/SRR30780351_2.fastq.gz	1c28ce6e48e77cc57d62dfb0cfb70239	16358877	raw/sequencing/MG1655/SRR30780351/SRR30780351_2.fastq.gz	download_only	pending
ERR16027351	PRJEB105423	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/051/ERR16027351/ERR16027351.fastq.gz	949ef806ad8771565f2570264fbf0723	35409356	raw/sequencing/MG1655/ERR16027351/ERR16027351.fastq.gz	download_only	pending
SRR12337223	PRJNA649104	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/023/SRR12337223/SRR12337223.fastq.gz	98f91b2dfa6931c7e7ec163e5ae580e8	55132373	raw/sequencing/MG1655/SRR12337223/SRR12337223.fastq.gz	download_only	pending
SRR12337222	PRJNA649104	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/022/SRR12337222/SRR12337222.fastq.gz	1b19cbada448f5ccf1c9d0b244eccfb3	59391184	raw/sequencing/MG1655/SRR12337222/SRR12337222.fastq.gz	download_only	pending
SRR25715294	PRJNA1007675	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/094/SRR25715294/SRR25715294_1.fastq.gz	27a8c1d11d58362b40fb5c8c6176ef2d	32328395	raw/sequencing/MG1655/SRR25715294/SRR25715294_1.fastq.gz	download_only	pending
SRR25715294	PRJNA1007675	regulomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/094/SRR25715294/SRR25715294_2.fastq.gz	87c86c332b80a017bdaf8485a4b68de9	27330781	raw/sequencing/MG1655/SRR25715294/SRR25715294_2.fastq.gz	download_only	pending
ERR1547228	PRJEB10931	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/008/ERR1547228/ERR1547228_1.fastq.gz	60203c4af3dbd65bcf8247d227e006a2	10302981	raw/sequencing/MG1655/ERR1547228/ERR1547228_1.fastq.gz	download_only	pending
ERR1547228	PRJEB10931	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/008/ERR1547228/ERR1547228_2.fastq.gz	4a14be225da12ef2690e078c7f413579	10676134	raw/sequencing/MG1655/ERR1547228/ERR1547228_2.fastq.gz	download_only	pending
SRR22879221	PRJNA915474	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/021/SRR22879221/SRR22879221.fastq.gz	238bb2d5ac15353afb59b8fb4923f179	21084550	raw/sequencing/MG1655/SRR22879221/SRR22879221.fastq.gz	download_only	pending
SRR19643378	PRJNA848841	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/078/SRR19643378/SRR19643378_1.fastq.gz	0786d4bd84f81b55ff163f2ef0d87194	10504749	raw/sequencing/MG1655/SRR19643378/SRR19643378_1.fastq.gz	download_only	pending
SRR19643378	PRJNA848841	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/078/SRR19643378/SRR19643378_2.fastq.gz	f82f12224872dbc860c45667293ee45f	10603196	raw/sequencing/MG1655/SRR19643378/SRR19643378_2.fastq.gz	download_only	pending
SRR19643139	PRJNA848841	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/039/SRR19643139/SRR19643139_1.fastq.gz	2b2214c6d7d3f113cfca4c18eccb2262	10483601	raw/sequencing/MG1655/SRR19643139/SRR19643139_1.fastq.gz	download_only	pending
SRR19643139	PRJNA848841	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/039/SRR19643139/SRR19643139_2.fastq.gz	627b39917101d1009cfd52615d34980e	10762437	raw/sequencing/MG1655/SRR19643139/SRR19643139_2.fastq.gz	download_only	pending
SRR23750085	PRJNA942285	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/085/SRR23750085/SRR23750085_subreads.fastq.gz	04de74ab1e10c22509a0f143977163e7	21645196	raw/sequencing/MG1655/SRR23750085/SRR23750085_subreads.fastq.gz	download_only	pending
SRR38227385	PRJNA1456594	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR382/085/SRR38227385/SRR38227385_1.fastq.gz	e381a3a06dd12f5f22270d22127734fa	12864726	raw/sequencing/MG1655/SRR38227385/SRR38227385_1.fastq.gz	download_only	pending
SRR38227385	PRJNA1456594	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR382/085/SRR38227385/SRR38227385_2.fastq.gz	a678bb588d2745428aff039b8f510358	11255271	raw/sequencing/MG1655/SRR38227385/SRR38227385_2.fastq.gz	download_only	pending
ERR3801416	PRJEB36111	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/006/ERR3801416/ERR3801416.fastq.gz	c61e302b63c252dd8a9b772736aeb62f	25398723	raw/sequencing/MG1655/ERR3801416/ERR3801416.fastq.gz	download_only	pending
SRR38227323	PRJNA1456594	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR382/023/SRR38227323/SRR38227323.fastq.gz	d3d8fb9915378aa2e6d55e1e08b6e1ff	27083695	raw/sequencing/MG1655/SRR38227323/SRR38227323.fastq.gz	download_only	pending
SRR23750086	PRJNA942285	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/086/SRR23750086/SRR23750086_subreads.fastq.gz	757d0763abf5c1413b9c1109a50f0522	28146384	raw/sequencing/MG1655/SRR23750086/SRR23750086_subreads.fastq.gz	download_only	pending
SRR22879220	PRJNA915474	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/020/SRR22879220/SRR22879220.fastq.gz	b13bab1596331037e64383b23d1b6364	32770549	raw/sequencing/MG1655/SRR22879220/SRR22879220.fastq.gz	download_only	pending
ERR3801413	PRJEB36111	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR380/003/ERR3801413/ERR3801413.fastq.gz	1cec3693a832e7414c1385ec0c0afcb6	34460753	raw/sequencing/MG1655/ERR3801413/ERR3801413.fastq.gz	download_only	pending
ERR2534360	PRJEB26394	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR253/000/ERR2534360/ERR2534360.fastq.gz	9888aaec2aefa390d146c0addf081340	41132330	raw/sequencing/MG1655/ERR2534360/ERR2534360.fastq.gz	download_only	pending
ERR6575017	PRJEB42756	transcriptomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR657/007/ERR6575017/ERR6575017.fastq.gz	9f92058a918123ec19b48e1890ea14ef	74922812	raw/sequencing/MG1655/ERR6575017/ERR6575017.fastq.gz	download_only	pending
