selection_rank	run_accession	study_accession	sample_accession	scientific_name	library_strategy	omics_type	fastq_bytes	read_count	base_count	selection_reason	license_tag	download_status
1	ERR10451692	PRJEB57220	SAMEA111539340	Escherichia coli str. K-12 substr. MG1655	Tn-Seq	functional_genomics	28499321	1050353	78354413	pilot_pipeline_smoke_test	download_only	pending
2	SRR32574243	PRJNA1231458	SAMN47223694	Escherichia coli str. K-12 substr. MG1655	Tn-Seq	functional_genomics	30217947	868331	59914839	pilot_pipeline_smoke_test	download_only	pending
3	ERR10451693	PRJEB57220	SAMEA111539341	Escherichia coli str. K-12 substr. MG1655	Tn-Seq	functional_genomics	35381760	1381947	103078520	pilot_pipeline_smoke_test	download_only	pending
4	SRR32574242	PRJNA1231458	SAMN47223695	Escherichia coli str. K-12 substr. MG1655	Tn-Seq	functional_genomics	35764396	1014278	69985182	pilot_pipeline_smoke_test	download_only	pending
5	SRR13921543	PRJNA706563	SAMN02604091	Escherichia coli str. K-12 substr. MG1655	Bisulfite-Seq	methylomics	367793074	2006041	601812300	pilot_pipeline_smoke_test	download_only	pending
6	SRR16264717	PRJNA769733	SAMN22168675	Escherichia coli str. K-12 substr. MG1655	Bisulfite-Seq	methylomics	419380986	2789141	837678798	pilot_pipeline_smoke_test	download_only	pending
7	SRR16264720	PRJNA769733	SAMN22168674	Escherichia coli str. K-12 substr. MG1655	Bisulfite-Seq	methylomics	443180303	2933049	880825922	pilot_pipeline_smoke_test	download_only	pending
8	SRR12301664	PRJNA648047	SAMN15617565	Escherichia coli str. K-12 substr. MG1655	ChIP-Seq	regulomics	22450650	324361	42082168	pilot_pipeline_smoke_test	download_only	pending
9	SRR12301632	PRJNA648047	SAMN15617569	Escherichia coli str. K-12 substr. MG1655	ChIP-Seq	regulomics	23541243	350871	46589765	pilot_pipeline_smoke_test	download_only	pending
10	SRR30919199	PRJNA951054	SAMN44109059	Escherichia coli str. K-12 substr. MG1655	ChIP-Seq	regulomics	26216948	958431	39295671	pilot_pipeline_smoke_test	download_only	pending
11	SRR1168159	PRJNA238007	SAMN02640329	Escherichia coli str. K-12 substr. MG1655	ChIP-Seq	regulomics	28298011	1100464	34114384	pilot_pipeline_smoke_test	download_only	pending
12	ERR16027350	PRJEB105423	SAMEA120821129	Escherichia coli str. K-12 substr. MG1655	ChIP-Seq	regulomics	29058787	1086591	28251366	pilot_pipeline_smoke_test	download_only	pending
