project_accession	file_name	category	file_size_bytes	ftp_url	local_relative_path	license_status	redistribution_status	download_status
PXD058693	240320-CLCwt_MSMS_13007-SumPeak.csv	SEARCH	1096484	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD058693/240320-CLCwt_MSMS_13007-SumPeak.csv	raw/proteomics/PRIDE/PXD058693/240320-CLCwt_MSMS_13007-SumPeak.csv	license_unverified	blocked_until_reviewed	pending
PXD003342	Ecoli_ea_chymo_after_enrichment_1to10_2ul_TR3.pep.xml	SEARCH	1100712	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003342/Ecoli_ea_chymo_after_enrichment_1to10_2ul_TR3.pep.xml	raw/proteomics/PRIDE/PXD003342/Ecoli_ea_chymo_after_enrichment_1to10_2ul_TR3.pep.xml	license_unverified	blocked_until_reviewed	pending
PXD014250	proteinGroups_OB0179-OB0187.txt	SEARCH	1101443	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014250/proteinGroups_OB0179-OB0187.txt	raw/proteomics/PRIDE/PXD014250/proteinGroups_OB0179-OB0187.txt	license_unverified	blocked_until_reviewed	pending
PXD008881	spinach_ribosome_70S_bottomup.prot.xml	SEARCH	1106968	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD008881/spinach_ribosome_70S_bottomup.prot.xml	raw/proteomics/PRIDE/PXD008881/spinach_ribosome_70S_bottomup.prot.xml	license_unverified	blocked_until_reviewed	pending
PXD004803	E.coliat60minafterCombshift-MEM-Rep2.prot.xml	SEARCH	1116286	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/09/PXD004803/E.coliat60minafterCombshift-MEM-Rep2.prot.xml	raw/proteomics/PRIDE/PXD004803/E.coliat60minafterCombshift-MEM-Rep2.prot.xml	license_unverified	blocked_until_reviewed	pending
PXD001379	95093demET.tandem.interact.pep.xml	SEARCH	1117018	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD001379/95093demET.tandem.interact.pep.xml	raw/proteomics/PRIDE/PXD001379/95093demET.tandem.interact.pep.xml	license_unverified	blocked_until_reviewed	pending
PXD062869	TPP_49.8C_staurosporine_liver_PG_matrix.tsv	SEARCH	1117874	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PXD062869/TPP_49.8C_staurosporine_liver_PG_matrix.tsv	raw/proteomics/PRIDE/PXD062869/TPP_49.8C_staurosporine_liver_PG_matrix.tsv	license_unverified	blocked_until_reviewed	pending
PXD011929	proteinGroups_human_body_fluids_seminal_plasma_P014428.xlsx	SEARCH	1117928	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD011929/proteinGroups_human_body_fluids_seminal_plasma_P014428.xlsx	raw/proteomics/PRIDE/PXD011929/proteinGroups_human_body_fluids_seminal_plasma_P014428.xlsx	license_unverified	blocked_until_reviewed	pending
PXD053456	DSBU_crosslinkMsms.xlsx	SEARCH	1119619	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PXD053456/DSBU_crosslinkMsms.xlsx	raw/proteomics/PRIDE/PXD053456/DSBU_crosslinkMsms.xlsx	license_unverified	blocked_until_reviewed	pending
PXD036945	01_FL_DHFR_UND2_IA_final_peptide.csv	SEARCH	1127994	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD036945/01_FL_DHFR_UND2_IA_final_peptide.csv	raw/proteomics/PRIDE/PXD036945/01_FL_DHFR_UND2_IA_final_peptide.csv	license_unverified	blocked_until_reviewed	pending
PXD065961	E250501_AMC_HSA_Only_C1_IV_Enriched_pepSEC_A3toB6_PeaksAnnotated_Xi1.8_filt_PSU_OR_5SU_CSM_xiFDR2.2.1.csv	SEARCH	1130818	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD065961/E250501_AMC_HSA_Only_C1_IV_Enriched_pepSEC_A3toB6_PeaksAnnotated_Xi1.8_filt_PSU_OR_5SU_CSM_xiFDR2.2.1.csv	raw/proteomics/PRIDE/PXD065961/E250501_AMC_HSA_Only_C1_IV_Enriched_pepSEC_A3toB6_PeaksAnnotated_Xi1.8_filt_PSU_OR_5SU_CSM_xiFDR2.2.1.csv	license_unverified	blocked_until_reviewed	pending
PXD031114	3_stepped_HCD-MS2_allows_high_XL_ID_analysis.zip	SEARCH	1131403	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD031114/3_stepped_HCD-MS2_allows_high_XL_ID_analysis.zip	raw/proteomics/PRIDE/PXD031114/3_stepped_HCD-MS2_allows_high_XL_ID_analysis.zip	license_unverified	blocked_until_reviewed	pending
PXD078621	Zelda_250211_P3705_MR_TL_Xlink_Sample2_BS3_F_R1_fr2.csv	SEARCH	1138107	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PXD078621/Zelda_250211_P3705_MR_TL_Xlink_Sample2_BS3_F_R1_fr2.csv	raw/proteomics/PRIDE/PXD078621/Zelda_250211_P3705_MR_TL_Xlink_Sample2_BS3_F_R1_fr2.csv	license_unverified	blocked_until_reviewed	pending
PXD027767	QE_Plus_YangJing_FL_Arabidopsis_thaliana_IPM_1_50per_20180602.xlsx	SEARCH	1141307	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/09/PXD027767/QE_Plus_YangJing_FL_Arabidopsis_thaliana_IPM_1_50per_20180602.xlsx	raw/proteomics/PRIDE/PXD027767/QE_Plus_YangJing_FL_Arabidopsis_thaliana_IPM_1_50per_20180602.xlsx	license_unverified	blocked_until_reviewed	pending
PXD030064	QE_Plus_YangJing_FL_Arabidopsis_thaliana_IPM_1_50per_20180602.xlsx	SEARCH	1141307	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD030064/QE_Plus_YangJing_FL_Arabidopsis_thaliana_IPM_1_50per_20180602.xlsx	raw/proteomics/PRIDE/PXD030064/QE_Plus_YangJing_FL_Arabidopsis_thaliana_IPM_1_50per_20180602.xlsx	license_unverified	blocked_until_reviewed	pending
PXD065625	Prc.pep.xml	SEARCH	1143877	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD065625/Prc.pep.xml	raw/proteomics/PRIDE/PXD065625/Prc.pep.xml	license_unverified	blocked_until_reviewed	pending
PXD012581	John_2.raw_20170615_Byonic.mzid.mzid	SEARCH	1145028	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012581/John_2.raw_20170615_Byonic.mzid.mzid	raw/proteomics/PRIDE/PXD012581/John_2.raw_20170615_Byonic.mzid.mzid	license_unverified	blocked_until_reviewed	pending
PXD056539	5308_3_1_C42T_heterodimerII_SpyCatcherCYP73A5_ATR2SpyTag.csv	SEARCH	1146120	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/10/PXD056539/5308_3_1_C42T_heterodimerII_SpyCatcherCYP73A5_ATR2SpyTag.csv	raw/proteomics/PRIDE/PXD056539/5308_3_1_C42T_heterodimerII_SpyCatcherCYP73A5_ATR2SpyTag.csv	license_unverified	blocked_until_reviewed	pending
PXD000583	E.coliunder35Caw0.993-MEM-Rep3.prot.xml	SEARCH	1146665	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD000583/E.coliunder35Caw0.993-MEM-Rep3.prot.xml	raw/proteomics/PRIDE/PXD000583/E.coliunder35Caw0.993-MEM-Rep3.prot.xml	license_unverified	blocked_until_reviewed	pending
PXD070239	ion.tsv	SEARCH	1156264	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD070239/ion.tsv	raw/proteomics/PRIDE/PXD070239/ion.tsv	license_unverified	blocked_until_reviewed	pending
PXD023729	LZ03092020_proteins.xlsx	SEARCH	1183713	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023729/LZ03092020_proteins.xlsx	raw/proteomics/PRIDE/PXD023729/LZ03092020_proteins.xlsx	license_unverified	blocked_until_reviewed	pending
PXD007643	F033248.mzid	SEARCH	1185698	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD007643/F033248.mzid	raw/proteomics/PRIDE/PXD007643/F033248.mzid	license_unverified	blocked_until_reviewed	pending
PXD024148	RpoB_pulldown_2_linkFDR_CSM_xiFDR2.1.5.csv	RESULT	1186272	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD024148/RpoB_pulldown_2_linkFDR_CSM_xiFDR2.1.5.csv	raw/proteomics/PRIDE/PXD024148/RpoB_pulldown_2_linkFDR_CSM_xiFDR2.1.5.csv	license_unverified	blocked_until_reviewed	pending
PXD055823	Searches.zip	SEARCH	1190307	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD055823/Searches.zip	raw/proteomics/PRIDE/PXD055823/Searches.zip	license_unverified	blocked_until_reviewed	pending
PXD008439	cONTROL_6H.mzid	SEARCH	1192281	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD008439/cONTROL_6H.mzid	raw/proteomics/PRIDE/PXD008439/cONTROL_6H.mzid	license_unverified	blocked_until_reviewed	pending
PXD041226	Histones_peptides.pep.xml	SEARCH	1192386	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041226/Histones_peptides.pep.xml	raw/proteomics/PRIDE/PXD041226/Histones_peptides.pep.xml	license_unverified	blocked_until_reviewed	pending
PXD001240	UDMSEProgenesisReport.csv	SEARCH	1196480	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD001240/UDMSEProgenesisReport.csv	raw/proteomics/PRIDE/PXD001240/UDMSEProgenesisReport.csv	license_unverified	blocked_until_reviewed	pending
PXD056526	proteinGroups_Supplementary3_QE_24JL07_AhnSM.txt	SEARCH	1197477	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056526/proteinGroups_Supplementary3_QE_24JL07_AhnSM.txt	raw/proteomics/PRIDE/PXD056526/proteinGroups_Supplementary3_QE_24JL07_AhnSM.txt	license_unverified	blocked_until_reviewed	pending
PXD048255	TP_biculture_MetaProSIP_Output.tsv	SEARCH	1200967	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/10/PXD048255/TP_biculture_MetaProSIP_Output.tsv	raw/proteomics/PRIDE/PXD048255/TP_biculture_MetaProSIP_Output.tsv	license_unverified	blocked_until_reviewed	pending
PXD001467	NCM3722_Lac_3MBA0_repeat3.csv	SEARCH	1209790	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001467/NCM3722_Lac_3MBA0_repeat3.csv	raw/proteomics/PRIDE/PXD001467/NCM3722_Lac_3MBA0_repeat3.csv	license_unverified	blocked_until_reviewed	pending
PXD074418	ME383_Cassandra_THP1.xlsx	SEARCH	1220648	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD074418/ME383_Cassandra_THP1.xlsx	raw/proteomics/PRIDE/PXD074418/ME383_Cassandra_THP1.xlsx	license_unverified	blocked_until_reviewed	pending
PXD057200	230706_BL_AcrA_Mg_DMSO_0sec_04_IA_final_peptide.csv	SEARCH	1220674	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/12/PXD057200/230706_BL_AcrA_Mg_DMSO_0sec_04_IA_final_peptide.csv	raw/proteomics/PRIDE/PXD057200/230706_BL_AcrA_Mg_DMSO_0sec_04_IA_final_peptide.csv	license_unverified	blocked_until_reviewed	pending
PXD014359	CRM_OpenPepXL_filtered_PSM.csv	SEARCH	1230575	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD014359/CRM_OpenPepXL_filtered_PSM.csv	raw/proteomics/PRIDE/PXD014359/CRM_OpenPepXL_filtered_PSM.csv	license_unverified	blocked_until_reviewed	pending
PXD055627	PLGSOutput.zip	SEARCH	1237819	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PXD055627/PLGSOutput.zip	raw/proteomics/PRIDE/PXD055627/PLGSOutput.zip	license_unverified	blocked_until_reviewed	pending
PXD022970	Results_P040846_P040849.zip	SEARCH	1267014	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD022970/Results_P040846_P040849.zip	raw/proteomics/PRIDE/PXD022970/Results_P040846_P040849.zip	license_unverified	blocked_until_reviewed	pending
PXD005859	SspFlagEcoliTrypsin_BE1_01_8806.mzid	SEARCH	1280256	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005859/SspFlagEcoliTrypsin_BE1_01_8806.mzid	raw/proteomics/PRIDE/PXD005859/SspFlagEcoliTrypsin_BE1_01_8806.mzid	license_unverified	blocked_until_reviewed	pending
PXD079272	sdhA_2.xlsx	SEARCH	1281103	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD079272/sdhA_2.xlsx	raw/proteomics/PRIDE/PXD079272/sdhA_2.xlsx	license_unverified	blocked_until_reviewed	pending
PXD040267	HSA_DualMS2_HCD-UVPD_separate_5pCSM_filtered.csv	SEARCH	1296809	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD040267/HSA_DualMS2_HCD-UVPD_separate_5pCSM_filtered.csv	raw/proteomics/PRIDE/PXD040267/HSA_DualMS2_HCD-UVPD_separate_5pCSM_filtered.csv	license_unverified	blocked_until_reviewed	pending
PXD070095	PFKP-WT_F649L-search_data.zip	SEARCH	1300290	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD070095/PFKP-WT_F649L-search_data.zip	raw/proteomics/PRIDE/PXD070095/PFKP-WT_F649L-search_data.zip	license_unverified	blocked_until_reviewed	pending
PXD006717	70S_Purity_evidence.txt	SEARCH	1303974	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD006717/70S_Purity_evidence.txt	raw/proteomics/PRIDE/PXD006717/70S_Purity_evidence.txt	license_unverified	blocked_until_reviewed	pending
PXD012109	E.coli-SS-15N.csv	SEARCH	1306846	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012109/E.coli-SS-15N.csv	raw/proteomics/PRIDE/PXD012109/E.coli-SS-15N.csv	license_unverified	blocked_until_reviewed	pending
PXD004372	RS_Ecoli_Secretome_7TMT_Terep2_bRP_All_Sequest_Mascot.pep.xml	SEARCH	1310741	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD004372/RS_Ecoli_Secretome_7TMT_Terep2_bRP_All_Sequest_Mascot.pep.xml	raw/proteomics/PRIDE/PXD004372/RS_Ecoli_Secretome_7TMT_Terep2_bRP_All_Sequest_Mascot.pep.xml	license_unverified	blocked_until_reviewed	pending
PXD026981	Phospho__RHSTY_Sites_Ctrl3.txt	SEARCH	1317621	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/06/PXD026981/Phospho__RHSTY_Sites_Ctrl3.txt	raw/proteomics/PRIDE/PXD026981/Phospho__RHSTY_Sites_Ctrl3.txt	license_unverified	blocked_until_reviewed	pending
PXD058094	CyaA-Oct23-WT_0.8Murea_MSMS_10749-SumPeak.csv	SEARCH	1329877	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD058094/CyaA-Oct23-WT_0.8Murea_MSMS_10749-SumPeak.csv	raw/proteomics/PRIDE/PXD058094/CyaA-Oct23-WT_0.8Murea_MSMS_10749-SumPeak.csv	license_unverified	blocked_until_reviewed	pending
PXD045656	P2514_fractionated_protein.tsv	SEARCH	1344901	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD045656/P2514_fractionated_protein.tsv	raw/proteomics/PRIDE/PXD045656/P2514_fractionated_protein.tsv	license_unverified	blocked_until_reviewed	pending
PXD062960	T10-peptide.tsv	SEARCH	1347646	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD062960/T10-peptide.tsv	raw/proteomics/PRIDE/PXD062960/T10-peptide.tsv	license_unverified	blocked_until_reviewed	pending
PXD006810	peptides-PRM_mouse.txt	SEARCH	1350734	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006810/peptides-PRM_mouse.txt	raw/proteomics/PRIDE/PXD006810/peptides-PRM_mouse.txt	license_unverified	blocked_until_reviewed	pending
PXD071320	23484-AllQuantifiedPeptides.tsv	SEARCH	1355772	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD071320/23484-AllQuantifiedPeptides.tsv	raw/proteomics/PRIDE/PXD071320/23484-AllQuantifiedPeptides.tsv	license_unverified	blocked_until_reviewed	pending
PXD020761	Supplementary_Figure7_raw_data.xlsx	SEARCH	1370707	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020761/Supplementary_Figure7_raw_data.xlsx	raw/proteomics/PRIDE/PXD020761/Supplementary_Figure7_raw_data.xlsx	license_unverified	blocked_until_reviewed	pending
PXD017265	SupportingInformationII_final.xlsx	SEARCH	1372297	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017265/SupportingInformationII_final.xlsx	raw/proteomics/PRIDE/PXD017265/SupportingInformationII_final.xlsx	license_unverified	blocked_until_reviewed	pending
PXD055476	131023_RNC135_undeut_2_IA_final_peptide.csv	SEARCH	1378411	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD055476/131023_RNC135_undeut_2_IA_final_peptide.csv	raw/proteomics/PRIDE/PXD055476/131023_RNC135_undeut_2_IA_final_peptide.csv	license_unverified	blocked_until_reviewed	pending
